Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.31,0.61,0.45612448971475866
100% Corpus,4,0.31,0.9099999999999999,0.471976154988636
100% Corpus,4,0.31,symmetric,0.5049733035228839
100% Corpus,4,0.61,0.01,0.44863673825374983
100% Corpus,4,0.61,0.31,0.5332098220154823
100% Corpus,4,0.61,0.61,0.504556369351763
100% Corpus,4,0.61,0.9099999999999999,0.5458520864604537
100% Corpus,4,0.61,symmetric,0.5083291053173007
100% Corpus,4,0.9099999999999999,0.01,0.4367692093610688
100% Corpus,4,0.9099999999999999,0.31,0.4596486666013083
100% Corpus,4,0.9099999999999999,0.61,0.4368599686784679
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.44213049444028274
100% Corpus,4,0.9099999999999999,symmetric,0.47856146932507854
100% Corpus,4,symmetric,0.01,0.36947766599423254
100% Corpus,4,symmetric,0.31,0.5176418264644598
100% Corpus,4,symmetric,0.61,0.48850778623487656
100% Corpus,4,symmetric,0.9099999999999999,0.4776478193206334
100% Corpus,4,symmetric,symmetric,0.4437877288124743
100% Corpus,4,asymmetric,0.01,0.3623635234739778
100% Corpus,4,asymmetric,0.31,0.5103190208676652
100% Corpus,4,asymmetric,0.61,0.4968918012987892
100% Corpus,4,asymmetric,0.9099999999999999,0.4921027456129002
100% Corpus,4,asymmetric,symmetric,0.45000945007619386
100% Corpus,5,0.01,0.01,0.3574329000640552
100% Corpus,5,0.01,0.31,0.5058641768974511
100% Corpus,5,0.01,0.61,0.49863856529977885
100% Corpus,5,0.01,0.9099999999999999,0.473559408562228
100% Corpus,5,0.01,symmetric,0.4558717023450624
100% Corpus,5,0.31,0.01,0.38405459273804865
100% Corpus,5,0.31,0.31,0.4919418123529994
100% Corpus,5,0.31,0.61,0.45612448971475866
100% Corpus,5,0.31,0.9099999999999999,0.471976154988636
100% Corpus,5,0.31,symmetric,0.5049733035228839
100% Corpus,5,0.61,0.01,0.44863673825374983
100% Corpus,5,0.61,0.31,0.5332098220154823
100% Corpus,5,0.61,0.61,0.504556369351763
100% Corpus,5,0.61,0.9099999999999999,0.5458520864604537
100% Corpus,5,0.61,symmetric,0.5083291053173007
100% Corpus,5,0.9099999999999999,0.01,0.4367692093610688
100% Corpus,5,0.9099999999999999,0.31,0.4596486666013083
100% Corpus,5,0.9099999999999999,0.61,0.4368599686784679
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.44213049444028274
100% Corpus,5,0.9099999999999999,symmetric,0.47856146932507854
100% Corpus,5,symmetric,0.01,0.36947766599423254
